Agent_ID,X_Positions,Y_Positions
2,[0.2178472876548767],[0.42782557010650635]
3,[-0.1280936449766159],[0.6872915029525757]
1,"[-0.18723160028457642, -0.1872904747724533]","[0.08370190113782883, 0.08374861627817154]"
4,[-0.4854212999343872],[0.40239569544792175]
